;Column1.1;Column1.2;Column1.2.1;Column1.2.2;Column1.2.3;Column1.3.1;Column1.3.2;Column1.3.3;Column1.4.1;Column1.4.2;Column1.4.22;Column1.4.3;;;;
Image ret;0.002791;2.791;stereoCalib;0.056225;56.225000;colorDetect;0.380093;380.093000;udp;0.000258;0.258;0.439367;;;;
Image ret;0.000857;0.857;stereoCalib;0.027922;27.922000;colorDetect;0.013147;13.147000;udp;0.000124;0.124;0.04205;;Imag ret;;in ms
Image ret;0.000833;0.833;stereoCalib;0.028366;28.366000;colorDetect;0.013915;13.915000;udp;9.3e-05;0.093;0.043207;;;avg;0.901685
Image ret;0.000877;0.877;stereoCalib;0.028138;28.138000;colorDetect;0.012673;12.673000;udp;9.5e-05;0.095;0.041783;;;std dev;0.171054927
Image ret;0.000798;0.798;stereoCalib;0.030083;30.083000;colorDetect;0.013279;13.279000;udp;0.000195;0.195;0.044355;;StereoCalib;;
Image ret;0.000804;0.804;stereoCalib;0.029294;29.294000;colorDetect;0.014314;14.314000;udp;9.6e-05;0.096;0.044508;;;avg;31.3943648
Image ret;0.000842;0.842;stereoCalib;0.028155;28.155000;colorDetect;0.014367;14.367000;udp;9.1e-05;0.091;0.043455;;;std dev;7.190694464
Image ret;0.000945;0.945;stereoCalib;0.030132;30.132000;colorDetect;0.012474;12.474000;udp;0.000112;0.112;0.043663;;colorDetect;;
Image ret;0.000795;0.795;stereoCalib;0.029572;29.572000;colorDetect;0.012458;12.458000;udp;0.000113;0.113;0.042938;;;avg;14.5512173
Image ret;0.000827;0.827;stereoCalib;0.028654;28.654000;colorDetect;0.012777;12.777000;udp;0.000111;0.111;0.042369;;;std dev;5.062054652
Image ret;0.00087;0.87;stereoCalib;0.029486;29.486000;colorDetect;0.013452;13.452000;udp;0.000231;0.231;0.044039;;udp;;
Image ret;0.000837;0.837;stereoCalib;0.029098;29.098000;colorDetect;0.014135;14.135000;udp;9.1e-05;0.091;0.044161;;;avg;0.120531
Image ret;0.00091;0.91;stereoCalib;0.030058;30.058000;colorDetect;0.012659;12.659000;udp;0.000113;0.113;0.04374;;;std dev;0.060311287
